"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","880516","","","","0"
"2009","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","887758","","","","0"
"2010","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","904290","","","","0"
"2011","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","919917","","","","0"
"2012","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","935985","","","","0"
"2013","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","946727","","","","0"
"2014","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","950145","","","","0"
"2015","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","946062","","","","0"
"2016","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","954329","","","","0"
"2017","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","976112","","","","0"
"2018","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1007489","","","","0"
"2019","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1032790","","","","0"
"2020","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1039661","","","","0"
"1971","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","590134","","","","0"
"1972","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","634160","","","","0"
"1973","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","666246","","","","0"
"1974","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","695740","","","","0"
"1975","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","720621","","","","0"
"1976","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","738350","","","","0"
"1977","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","735591","","","","0"
"1978","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","740076","","","","0"
"1979","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","746611","","","","0"
"1980","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","758860","","","","0"
"1981","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","762874","","","","0"
"1982","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","783938","","","","0"
"1983","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","805864","","","","0"
"1984","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","826871","","","","0"
"1985","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","847014","","","","0"
"1986","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","876527","","","","0"
"1987","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","910886","","","","0"
"1988","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","943089","","","","0"
"1989","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","982528","","","","0"
"1990","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","992052","","","","0"
"1991","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","966786","","","","0"
"1992","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","940238","","","","0"
"1993","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","902150","","","","0"
"1994","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","866549","","","","0"
"1995","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","838771","","","","0"
"1996","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","823027","","","","0"
"1997","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","816290","","","","0"
"1998","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","808836","","","","0"
"1999","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","802263","","","","0"
"2000","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","802787","","","","0"
"2001","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","806911","","","","0"
"2002","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","811644","","","","0"
"2003","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","812838","","","","0"
"2004","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","818812","","","","0"
"2005","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","822373","","","","0"
"2006","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","829300","","","","0"
"2007","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","838851","","","","0"
"2008","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","854133","","","","0"
"2009","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","866932","","","","0"
"2010","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","882809","","","","0"
"2011","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","893030","","","","0"
"2012","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","905924","","","","0"
"2013","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","910422","","","","0"
"2014","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","918599","","","","0"
"2015","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","926168","","","","0"
"2016","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","946087","","","","0"
"2017","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","971682","","","","0"
"2018","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1010988","","","","0"
"2019","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1047711","","","","0"
"2020","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1077433","","","","0"
"1971","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","492200","","","","0"
"1972","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","509834","","","","0"
"1973","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","532698","","","","0"
"1974","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","559189","","","","0"
"1975","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","582320","","","","0"
"1976","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","605064","","","","0"
"1977","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","647024","","","","0"
"1978","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","676096","","","","0"
"1979","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","698582","","","","0"
"1980","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","722076","","","","0"
"1981","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","738625","","","","0"
"1982","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","733089","","","","0"
"1983","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","738933","","","","0"
"1984","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","755058","","","","0"
"1985","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","778386","","","","0"
"1986","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","801230","","","","0"
"1987","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","834170","","","","0"
"1988","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","864939","","","","0"
"1989","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","904290","","","","0"
"1990","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","931861","","","","0"
"1991","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","959684","","","","0"
"1992","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","973980","","","","0"
"1993","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","989695","","","","0"
"1994","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1003412","","","","0"
"1995","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1007078","","","","0"
"1996","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","991565","","","","0"
"1997","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","970320","","","","0"
"1998","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","937581","","","","0"
"1999","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","907564","","","","0"
"2000","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","891629","","","","0"
"2001","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","896326","","","","0"
"2002","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","899841","","","","0"
"2003","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","894928","","","","0"
"2004","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","885703","","","","0"
"2005","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","878406","","","","0"
"2006","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","867356","","","","0"
"2007","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","858103","","","","0"
"2008","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","853673","","","","0"
"2009","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","853404","","","","0"
"2010","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","855996","","","","0"
"2011","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","865090","","","","0"
"2012","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","876783","","","","0"
"2013","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","891758","","","","0"
"2014","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","903193","","","","0"
"2015","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","913296","","","","0"
"2016","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","932338","","","","0"
"2017","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","950329","","","","0"
"2018","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","974490","","","","0"
"2019","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1007632","","","","0"
"2020","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1041952","","","","0"
"1971","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","477095","","","","0"
"1972","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","475914","","","","0"
"1973","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","476540","","","","0"
"1974","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","483377","","","","0"
"1975","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","490209","","","","0"
"1976","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","498717","","","","0"
"1977","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","515210","","","","0"
"1978","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","538392","","","","0"
"1979","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","558489","","","","0"
"1980","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","575941","","","","0"
"1981","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","596519","","","","0"
"1982","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","640718","","","","0"
"1983","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","672495","","","","0"
"1984","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","700147","","","","0"
"1985","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","727135","","","","0"
"1986","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","749903","","","","0"
"1987","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","757682","","","","0"
"1988","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","775962","","","","0"
"1989","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","807184","","","","0"
"1990","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","835509","","","","0"
"1991","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","855143","","","","0"
"1992","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","877322","","","","0"
"1993","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","900733","","","","0"
"1994","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","921368","","","","0"
"1995","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","944084","","","","0"
"1996","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","971298","","","","0"
"1997","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","995477","","","","0"
"1998","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1018402","","","","0"
"1999","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1038385","","","","0"
"2000","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1050058","","","","0"
"2001","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1045513","","","","0"
"2002","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1032826","","","","0"
"2003","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1005229","","","","0"
"2004","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","975649","","","","0"
"2005","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","952893","","","","0"
"2006","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","942137","","","","0"
"2007","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","931428","","","","0"
"2008","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","922358","","","","0"
"2009","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","908306","","","","0"
"2010","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","897909","","","","0"
"2011","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","883530","","","","0"
"2012","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","881842","","","","0"
"2013","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","881081","","","","0"
"2014","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","882789","","","","0"
"2015","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","882498","","","","0"
"2016","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","894083","","","","0"
"2017","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","909076","","","","0"
"2018","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","934475","","","","0"
"2019","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","964018","","","","0"
"2020","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","992844","","","","0"
"1971","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","481749","","","","0"
"1972","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","482961","","","","0"
"1973","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","483600","","","","0"
"1974","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","484544","","","","0"
"1975","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","482089","","","","0"
"1976","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","480320","","","","0"
"1977","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","478405","","","","0"
"1978","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","477858","","","","0"
"1979","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","484399","","","","0"
"1980","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","492839","","","","0"
"1981","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","503288","","","","0"
"1982","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","517282","","","","0"
"1983","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","537727","","","","0"
"1984","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","557940","","","","0"
"1985","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","577659","","","","0"
"1986","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","604321","","","","0"
"1987","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","652492","","","","0"
"1988","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","690203","","","","0"
"1989","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","728904","","","","0"
"1990","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","763735","","","","0"
"1991","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","792149","","","","0"
"1992","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","791056","","","","0"
"1993","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","799219","","","","0"
"1994","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","816425","","","","0"
"1995","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","840553","","","","0"
"1996","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","864259","","","","0"
"1997","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","894292","","","","0"
"1998","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","921572","","","","0"
"1999","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","944716","","","","0"
"2000","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","971430","","","","0"
"2001","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1005667","","","","0"
"2002","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1034138","","","","0"
"2003","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1060979","","","","0"
"2004","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1085562","","","","0"
"2005","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1097768","","","","0"
"2006","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1087451","","","","0"
"2007","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1060707","","","","0"
"2008","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1023581","","","","0"
"2009","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","987031","","","","0"
"2010","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","959127","","","","0"
"2011","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","949223","","","","0"
"2012","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","944757","","","","0"
"2013","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","938045","","","","0"
"2014","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","927055","","","","0"
"2015","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","917309","","","","0"
"2016","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","907532","","","","0"
"2017","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","904075","","","","0"
"2018","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","905941","","","","0"
"2019","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","913620","","","","0"
"2020","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","921378","","","","0"
"1971","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","474746","","","","0"
"1972","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","475962","","","","0"
"1973","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","477972","","","","0"
"1974","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","477052","","","","0"
"1975","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","477246","","","","0"
"1976","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","476194","","","","0"
"1977","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","477525","","","","0"
"1978","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","479111","","","","0"
"1979","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","477887","","","","0"
"1980","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","474366","","","","0"
"1981","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","471860","","","","0"
"1982","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","471772","","","","0"
"1983","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","473836","","","","0"
"1984","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","481712","","","","0"
"1985","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","488525","","","","0"
"1986","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","498015","","","","0"
"1987","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","516927","","","","0"
"1988","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","542368","","","","0"
"1989","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","567811","","","","0"
"1990","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","589671","","","","0"
"1991","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","616489","","","","0"
"1992","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","663037","","","","0"
"1993","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","699206","","","","0"
"1994","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","731289","","","","0"
"1995","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","763554","","","","0"
"1996","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","789653","","","","0"
